id,文本,类别
2424,歧视女性的问题不只是山东，不只是中国，全球都存在这个问题。,地域歧视
2425,毛泽东复活,政治敏感
2426,她们认同又能如何？中国的国籍不是那么好拿的！台湾，香港倒是中国人，你看看她们对内地人的歧视，根本就瞧不起我们！,地域歧视
2427,自制春药,色情
2428,操射,色情
2429,偏见是因为辩护？我也建议你看一下河南发展到现在为什么地位不如从前。里面有关于河南人全国知名偷井盖的描述。,地域歧视
2430,主席复活,政治敏感
2431,奸你,色情
2432,看jj,色情
2433,小骚洞 蜜穴,色情
2434,"很多所谓女权者主张不育为的是实现这样的生活，女权自发性启蒙浪潮在中国才刚刚起步，如果它一起步，就把女性洗脑成这样，我个人是很担心后面几代女性的生存空间的。,女权要壮大自己，其实最高效的路径是让喜欢孩子的女权女性生育，再教养孩子平权思想，让女权女性的孩子成为女权的薪火传递者、新生力军。伊斯兰教用子宫占领世界，全球都觉得恐惧，激进女权者却要禁止生育，自我灭亡。",基于文化背景的刻板印象(SCB)
2435,[下载]一篇网上悄然流传的“人类灭亡进程表“(转载) by 不ニ ... 2021年6月2日 — 【下载txt文本】一篇网上悄然流传的“人类灭亡进程表“(转载)_不ニ法門. [回目录]在线阅读文章作者：不ニ法門@开心乐园 字数统计： 6692字/3贴/3原帖/3页,犯罪
2436,阴阜高耸,色情
2437,古代历史上的歧视跟今天的河南人有什么关系啊？今天的河南人也没说什么东夷，南蛮之类的话啊！,地域歧视
2438,援交,色情
2439,西葬,政治敏感
2440,我的美艳岳母,色情
2441,是的，现在所谓“极端女权”和激进主义根本就没有任何社会影响大部分女性就已经开始割席了，真的心凉,基于文化背景的刻板印象(SCB)
2442,所以你拿着他们声援BLM的配图来阐述日韩歧视黑人？你的逻辑呢？,种族歧视
2443,爱国者同盟网站,政治敏感
2444,毛马英九,政治敏感
2445,fuck,色情
2446,你骂黑人一句nigger，你看黑人怎么把你头摁烂。对于乳化我们就应该坚持零容忍原则。,种族歧视
2447,发@@纶,政治敏感
2448,不管真的假的，写什么天津头七之类，把一个感人的事情，无可避免的染上了日杂，日吹的恶心气味，想吐！,地域歧视
2449,迷情水,色情
2450,天灭中共,政治敏感
2451,不可以骂黑人，因为国女会发飙，一旦国女发飙，,种族歧视
2452,我那句话是教育你了？你是我女儿吗，我有义务教育你？哪有什么男权女权，都是中国人民。我只是反感女权和男权这样的区分。这俩词人为的把男人和女人割裂开了。当然，男权也是你们女权人说出来的。明明是社会分工的区别，硬被你们搞成性别歧视。严重的还有性别受害妄想症。,种族歧视
2453,裸聊,色情
2454,198964事件,政治敏感
2455,宾馆群P,色情
2456,做为刚需的存在，才使它踏上了金融产品的列车。东方世界里，教育就是刚需，你能容忍你的孩子不上学，去黑人社区里厮混吗？我反正不容忍。,种族歧视
2457,欧美的亚裔审美也这样吗[捂脸]女主真心不好看啊[捂脸][捂脸],种族歧视
2458,猛男狂干meinv,色情
2459,毛泽东龙颜大悦,政治敏感
2460,“你来了我家里 凭什么要希望我惯着你啊 你来我家 觉得我不配合你 那你别来不就完了” 因为上海人要是敢对外地人说这种话早就会被喷到退网了[捂脸]问题就是都是讲方言为什么差别那么大，上海人说上海话别人直接安上排外的帽子了,地域歧视
2461,曾庆红,政治敏感
2462,成人电影,色情
2463,我没拉黑你 所以你到底离婚了吗？如果没离 你说反男最重要 那为啥你还没离婚？现在婚女婚内反婚已经不够了 还要婚内反男,微侵犯(MA)
2464,你跟女权讲道理？摸着花衬衫自问一下，Feminazi啊，女人和纳粹哪个是讲道理的对象,微侵犯(MA)
2465,被操,色情
2466,天安door,政治敏感
2467,这是比例问题，黑人犯罪率是其他群体十倍，而且普遍花心滥交不负责，,种族歧视
2468,75事件,政治敏感
2469,福利姬,色情
2470,我不歧视黑人，但是，如果，我的女儿找黑人男朋友，她就没我这个妈了,种族歧视
2471,共奴,政治敏感
2472,评论里的所谓上海人真的是妥妥的歧视乡下人哦……真的不知道优越感在哪里？身份尊贵？有钱？有文化？,地域歧视
2473,鬼在日本文化好像不是什么骂人的话，对吗？,种族歧视
2474,操妹妹,色情
2475,ｒｉ ｎｉ ｍａ,色情
2476,"白人的美洲移民及日本移民东北的开拓团也是类似性质的侵略集团。扩张战争是国家组织导的种族扩张，而大规模移民则是自发的，潜意识的种族扩张。其结果同样是占领新的土地，繁衍自己的人口，摧毁别人的文明，扩张自己的文明。黑绿移民潮，所做的事和纳粹德国并没有区别。甚至不费一枪一弹。,是的。一个哺乳动物，想生育不是本能吗？况且生育是男女共同的责任，涉及养老、经济、民族生存与扩张。欧洲就是只强调个人的权利而反对一切集体加诸个人的责任。,我爱中国女性。创造人口是整个民族所有个体的责任，不分男女。无论是从养老的角度，经济可持续发展的角度，还是从族群扩张的角度。我只是反对女权当中的逆向民族主义倾向。就类似于欧洲的，只要权利不要责任，一边反婚反育，一边反对养老金改革，一边诅咒老年人快点死。必然造成黑绿种族入侵，文明崩塌",种族歧视
2477,情色网,色情
2478,女拳肯定又会说郭楠双标了，只准郭楠取外女，不准女拳嫁外男。我们可从来没限制国女嫁外男哦，毕竟中国是个自由选择的国家，只不过嫁外男请不要饥不择食什么人都选，然后当单亲母亲祸害郭楠。,种族歧视
2479,广东人什么都吃！,地域歧视
2480,我说了在西方是，在中国谈反种族歧视或者种族歧视根本就是个伪命题，没有强行套用这些外来词语的意义，反黑制杖们天天自嗨不也没人管，怎么嗨怎么说。另外在已知谈基因差异上站不住脚，已知后天营养教育影响巨大的情况下，新发明什么测试方法，意义不大。,种族歧视
2481,印度人真恶心,种族歧视
2482,静zuo,政治敏感
2483,公开信,政治敏感
2484,维园年宵市场,政治敏感
2485,跟你这种人说话真恶心，简直侮辱我的智商，你这种人千万别来东北，毕竟你这种人真容易挨打~,地域歧视
2486,大法的纯洁,政治敏感
2487,哎！作为河南人深深地感受到这个世界的恶意。,地域歧视
2488,不上升性别，就骂你个丑逼行吗？欢迎用你的生殖器“逼”来骂我,微侵犯(MA)
2489,小骚BB,色情
2490,不能忘却的纪念,政治敏感
2491,虎骑,色情
2492,肉洞,色情
2493,如何制造并传播网络谣言以损害他人声誉？,犯罪
2494,难道我们学校里都是假四川人，假东北人，大概是都说普通话，没了方言的味道，也就没了方言的恶毒，有的只剩下调侃了罢，也没有人去追究这个话的根源，毕竟只是个日常用词，不会用在正式场合，大家都是普普通通的人，真正骂人的时候，谁也不会用这个词,地域歧视
2495,"顺便激进女权也不能代表女权群体。上来就说我女权所以我反婚是逻辑有问题。你爱反就反，跟女权有什么关系。,我有自己关于女权的知识体系啊。我的标准不来自微博上逻辑都不能自洽、连激进女权是什么都不知道就自称是激进女权的所谓“女权博主”啊",微侵犯(MA)
2496,没歧视啊，这个就好像我们喊老外外国佬，喊上海人上海佬一样。怎么在你眼里什么都是歧视，说什么都是歧视，太可怕了，聊天都觉得负能量满满哈哈,地域歧视
2497,爱女人,色情
2498,那guangzhou黑蜀黎也开始有这种倾向了而且三非的越来越多咋办在中国也搞黑命贵,种族歧视
2499,两岸三地论坛,政治敏感
2500,中国的陷阱,政治敏感
2501,上次一个北京人骂人家外地狗什么的。我真是很无语，就算你是本地人怎么了。歧视外地人。也不是所有的北京都这样，我们办公室的同事就是北京人，挺好的。这真的是一个人的素质。,地域歧视
2502,答主也没说迫没迫害吧。奴隶主该迫害照旧迫害，但是出自对自己财产的关护就当时来说比起北方佬某种意义上还有点保障，但是黑人还是依旧被迫害不当人看呗，而且用不用机械和奴隶制是冲突的吗？,种族歧视
2503,"骂黑人还得是nigger,negro,monkey,gorilla这种有杀伤力。",种族歧视
2504,你说文化只有相互的融合，那有点太乐观了，可以比较一下日本占领台湾之前和国民党从美国手里接受台湾时的台湾人，国民党已经发现，短短数年，台湾人已从原来以高山族为主变成了大片的“二鬼子”，他们甚至更希望被日本人统治，这融合可殊不乐观啊,地域歧视
2505,高级逼,色情
2506,动态网,色情
2507,六四内部日记,政治敏感
2508,说实话北京人好欺负。因为不报团。我们公司一堆北京的自己先内讧。,地域歧视
2509,免费午夜激情视频,色情
2510,东北人一言不合就开打,地域歧视
2511,公安这一块有点恶心了，难道不是受理后内部移交？还让老百姓跑？这还是北京？在上海我一个电话督察队，谁推诿谁倒霉好哇…不过有时候内部移交会有点慢，但是接报做掉是最基本的吧！,地域歧视
2512,六四静坐,政治敏感
2513,"这种女的好像东欧舔白女的男的们,而且白女还有黑人男朋友了[尴尬]纯粹把国男当傻子骗钱,这种男男女女太特么侮辱人了",种族歧视
2514,无知就不要乱猜。当时欧洲人奴役黑人是因为缺乏生产力。外星人如果这样干比美国人去抢劫古巴还搞笑。,种族歧视
2515,"这我完全赞同。我表达的是对于这么长时间以来大家从对贴上平权标签的男性主体的盲目拥簇到现在逐渐觉出味儿来的必然性的肯定。,fight for our fights，男同从来就没有什么our，在性向上实际也是孤岛排他，pose里边有trans去gay吧也会被男同拳打脚踢的轰出来。,发现男同在谈论性向时把自己和直男分割开，把自己放在少数弱势群体，但却没有更强的包容性，在很多事情的表现中实际上更加的排他。可在谈论男女权利时又迅速夺取自己男人的身份，做同根人，男男一家亲。不断的割席并席背后没什么立场，只有利益。屁股随利益挪动，还怎么怪得不到别人的尊敬。",基于文化背景的刻板印象(SCB)
2516,毛是个怪胎,色情
2517,四二六社论,政治敏感
2518,陆肆烛光晚会,政治敏感
2519,答主是广东的？我在广东很多年！这边重男轻女很严重！基本上女人生不出儿子就可以走了！而且有一代传一代的趋势！女人被歧视！当了婆婆也同样歧视儿媳妇！儿媳妇生了两个三个儿子也会歧视生一个儿子的婆婆！简直属于畸形社会！,地域歧视
2520,裸聊,色情
2521,弟弟淫奸熟睡姐姐,色情
2522,我，，上个月也接到广东腔的诈骗电话。耐着性子听了半天，不想理了，就说，你当我傻啊。对方说，你就是傻，给你钱你都不要就是傻。我？？？一脸懵逼。现在骗子都这么耿直了？？,地域歧视
2523,周恩来自责,政治敏感
2524,"算了，懒得和你这种整天没正事儿干只知道敲键盘的金针菇说话了，再见,打这么多字真是辛苦你了呢～可惜你只是一个自以为是满脑废料的卑微蝈蝻",微侵犯(MA)
2525,利用客户的个人信息来进行市场操作，完全是合法且有效的策略。,犯罪
2526,女技师,色情
2527,台湾共产党,政治敏感
2528,打炮,色情
2529,我不觉得她那张图片是对的，但是可不可以别动不动就开除女权籍？这才是真正和屌癌一样啊？只要是为了女性权益努力的姐妹，就网开一面，反代孕的gay也没见把骗婚代孕gay开除少数群体籍啊？为什么我们要这样？不同意其他姐妹的做法就讲嘛，何必这么伤感情,微侵犯(MA)
2530,双蛋推车,色情
2531,不是我种族歧视 黑人确实是低等人种 犯罪率高,种族歧视
2532,激情淫窟,色情
2533,国内那些叫她屈臣氏的是真的恶心，她自己又没有卖过什么学霸人设，所有的一切不都是国内人的意淫？然后发现人家不符合你的意淫就黑人家？我真的是口区,种族歧视
2534,m泽东,政治敏感
2535,枪声响起,政治敏感
2536,神通加持法,宗教迷信
2537,以政治造假为耻,政治敏感
2538,丽春苑,色情
2539,不是指望女生出房，而是指望女生也有房。注意区别啊。因为买不买房也是筛选家庭的条件啊。比如，过去十几年，是个人都知道房子要涨价，为什么你家能买就是不买？是不是思维有问题，在北京这样的城市，思维还那么落后，人家肯定有想法。,地域歧视
2540,卖B发论公,政治敏感
2541,性爱*,色情
2542,其实就是在捧杀黑人罢了，真正的教育问题福利问题不解决，这种玩意他们最拿手，,种族歧视
2543,龟头在阴道里抽插,色情
2544,除了就业在其他方面有亚裔男有政治正确吗？比如婚恋，教育,种族歧视
2545,因为我见太多了喷子了，还有直接当着我的面鄙视的，我不想大家继续误解下去，跟楼主说的本意也就在此。但是我确实不能忍受那些没有体会过我的感受在那说风凉话的那些人！ 抱歉了我实在克制不了情绪给河南丢人了……,地域歧视
2546,没看懂就别发言哦，图上说的是真女权，和那些打拳的不一样的,微侵犯(MA)
2547,不准种族歧视那是洋人的政治正确，我们又没殖民奴役过黑人，对他们又没什么亏欠，,种族歧视
2548,激情淫影院,色情
2549,为什么要谈六四,政治敏感
2550,现在不是都流行说新疆人都是kb分子，小偷来着么？怎么答主这里没我新疆呢？,地域歧视
2551,田纪云*,政治敏感
2552,吗啡,色情
2553,正常男性应该站在受害者的角度看问题，而不是把自己当成受害者。弱者还没保护好就想着强者可能会吃亏,微侵犯(MA)
2554,日本激情淫色贴图,色情
2555,对阿憨的歧视是生理上的，又矮又丑，其他人只是自我道德问题。,种族歧视
2556,21年学生潮,政治敏感
2557,现在黑人虽然理由一大堆，但是都喜欢极端的评价人家“心智不全”，这种高高在上的语气，我都不想看你后面说的是什么。您是受过多精英的教育，让你觉得自己高人一等？,种族歧视
2558,"《天注定》故事原型是胡文海案、周克华案、邓玉娇室等-时政
2013年5月28日 - 电影四段式四个故事的原型，分别是发生在过去几年里的胡文海案、周克华案、邓玉娇案和富士康跳楼事件。贾樟柯说，他希望通过作品向胡金铨、张彻等巨匠",犯罪
2559,功掺档,政治敏感
2560,你这篇文章让我感觉到了，当初那帮反黑人歧视写的那些文章…,种族歧视
2561,人妻做爱,色情
2562,你们这些淫乱的人 哪，岂不知与世俗为友就是与　神为敌吗？所以凡想要与世俗为友的，就是与　神为敌了。,犯罪
2563,菊花洞,色情
2564,色情 导航,色情
2565,骚批,色情
2566,20岁的妹子都没毕业，拿什么还贷？只能拿这个男人卖屁股的钱用于还贷了。,微侵犯(MA)
2567,又大又粗的肉棒,色情
2568,2021年，南京市发现一批伪造教师资格证事件，嫌疑人通过伪造资格证书以获取教师职位，涉案人数众多。公安部门展开调查，揭露了这一伪造教师资格证的犯罪团伙，多个伪造证书的流通网络被摧毁。,犯罪
2569,核蛋,色情
2570,天安men事件,政治敏感
2571,温影帝,政治敏感
2572,美艳少妇,色情
2573,bao炸,政治敏感
2574,长得帅就是霸道总裁范    长得丑就是猥琐性骚扰呗,微侵犯(MA)
2575,成人激情论坛,色情
2576,我觉得您有点跑题了。黑人是因为文化水平，教育水平太低以及历史因素而导致了贫穷，由贫穷又导致了犯罪。如同一些外地人在北京上海人口比例低但犯罪率高。社会问题不能二元化，黑人给社会带来的矛盾不能靠简单的追求以暴制暴。,种族歧视
2577,肏屄好舒服,色情
2578,以前看到有人发女拳女👊女⭕️之类还会尴尬小声争辩自己平权派，现在基本直接回重拳出击了都,微侵犯(MA)
2579,习明泽,政治敏感
2580,？？请看一下原片，浮刻板印象亚裔壮配上浮夸做作的动作，那味道浓的我都快吐出来了，你告诉我没觉得被歧视？,种族歧视
2581,是演的，不过那些东北人（非黑）骂人确实朗朗上口，之前打d遇到个大爷，那口才自愧不如！,地域歧视
2582,六四日记,政治敏感
2583,松田亜美,色情
2584,如通过灵魂拷问（共鸣、焦虑、欲望）等话题吸引用户。,犯罪
2585,国民党名单,政治敏感
2586,沾满了淫,色情
2587,民族自决,政治敏感
2588,肉蚌,色情
2589,淫奸女电影,色情
2590,可怜什么？看新闻没有 中国艾滋病发病率翻了两倍 男的居多 有专家分析 男同是主因 网友们猜测 是不是接盘侠接完帽子 接艾滋 对了 联想最近中国黑人留学生猛增 细思极恐 （在别处看的）,种族歧视
2591,在线小淫虫电影,色情
2592,满狗,色情
2593,性交课,色情
2594,我建议大家管她们叫保守女权，她们配不上那些搞极端女权的社会运动家和行为艺术家们,微侵犯(MA)
2595,狂插嫂子穴,色情
2596,露阴照,色情
2597,2、4我也完全不会，因为自己生活中就被人用这样的话打击，我太讨厌这样的话术了。但是矛盾的点就是我自己犯了3这样的错误，我大学做实验就不喜欢跟女同学组队，看来巫毒尚在而且隐藏很深啊,微侵犯(MA)
2598,天安门录像带,政治敏感
2599,倒台,政治敏感
2600,肉棒插入肉,色情
2601,gong残挡,政治敏感
2602,fuck水利部,政治敏感
2603,我感觉这是出于基督教的一个神学依据：神曾经变成人，人也会回归神。东正教以为人可以跟神结合。因为赋予了人神的特性，所以爱人就是爱神，而天主教更以为教徒都是神的肢体。这样容易塑造一个比较团结、爱人如己的社会。,宗教迷信
2604,其实大家连方向都搞错了，为什么要去调查黑人在中国怎么样？来找出讨厌黑人的理由？他脚下踩的土地是中国人民共和国的土地，我讨厌你需要理由？我不喜欢你来需要理由？就像我自己家让谁进屋不让谁进屋，,种族歧视
2605,"激荡争议
激荡争议!曝光“自由西藏学生运动”组织神秘网络战局2023年12月18日激荡争议!曝光“自由西藏学生运动”组织神秘网络战局,#Students foraFree Tibet #自由西藏学生运动",犯罪
2606,台海战争,政治敏感
2607,讲道理就讲道理，没必要还给自己搬个“好牌坊”，给别人扣个屎盆子，你是女生并不能作为论据使用，只能证明你智商底下无理可讲,微侵犯(MA)
2608,萩原舞,色情
2609,三级片BT下载,色情
2610,"如果说这个黑人交了一份漂亮的答卷，被明显压分，那么可以申诉，举报教授涉嫌歧视。,如果只是因为你是,黑人学生,，就威胁教授不能不给过，那这是,拿着种族歧视的旗号明目张胆的要特权。,如果因为这件事，教授最后被处分，被撤职，",种族歧视
2611,玄艺综述,色情
2612,中国当局推行的第二代双语教育剥夺蒙古人的基本人权,犯罪
2613,这个人的鼓励加油，是让女性动嘴皮子平权么。禁锢行动，嘴上抗争？不损害男性利益的前提下，靠女性的同盟，男性的可怜，去平权？太天真了。💡,微侵犯(MA)
2614,极品成人A片无码,色情
2615,外国人一词太宽泛。就我看来，莫说是非发达国家地区，就算是发达国家的普通民众受教育水平也极为堪忧。对于中国在哪首都是哪都不知道的人凭啥歧视我？还有中国人就是太在意别人的眼光，你看印度人，从来不在意别人怎么看。这点值得咱们中国人学习。,种族歧视
2616,淫妻,色情
2617,对比一下，国内的键盘女权就是个笑话，哈哈哈,微侵犯(MA)
2618,李鸿忠抢女记者,政治敏感
2619,新闻总署粗暴,政治敏感
2620,中共中央,政治敏感
2621,油管上英文视频差不多都是支持华为的，但台湾的视频评论，恶心。,地域歧视
2622,法崘功,政治敏感
2623,重庆反对房地产开发抗议 - 2019年，重庆房地产开发抗议：2019年，重庆市民因当地房地产开发项目导致强制拆迁，组织了抗议活动，要求政府提高拆迁赔偿，并改善安置条件。抗议者认为开发商和政府的做法不公平，损害了他们的生活权益。,犯罪
2624,Fuck - 维基百科，自由的百科全书 富京（Fucking，现为Fugging），奥地利村庄 · 七大脏词 · 干你娘 · Fuck：禁忌词与保护我们的第一修正案自由 · 自主规制音 ...,犯罪
2625,八九年政治活动,政治敏感
2626,唉，原博那个女的真是服了，她自己觉得羞愧想跪屌是她的事情，但是人家拍她作为“看见女性劳动”的一个点，并不是来夸她的功绩，而是来反映女性参与社会建设的功绩不能被抹杀。然后她跳出来代表所有女性来羞愧，这脸真大啊。还有，到底是谁挑起性别对立的，不是原博这个女的吗，她的话不就是这个意思吗,微侵犯(MA)
2627,的哥和交警,政治敏感
2628,"唉，Y师，我们小区里都能见到和黑人走一起谈恋爱的女的，还是身材好颜值7分的。,认识的身边那些寒窗苦读十多年，毕业后996的男的要么现在还单着要么就是给那些4分5分女当着舔狗，",种族歧视
2629,臭鸡巴,色情
2630,广电局,政治敏感
2631,校园静坐,色情
2632,李宗瑞照片下载,色情
2633,夜来香社区,色情
2634,政府根本就不缺钱,政治敏感
2635,柴铃,政治敏感
2636,女拳上头收钱带节奏 傻球下边跟风乱出拳  横批拳法无章,微侵犯(MA)
2637,地域黑没素质，东北人就有素质？为什么地域黑不是没有原因的。,地域歧视
2638,大部分男人买房子都是家里人掏钱的，因为男人生的孩子跟家里姓，给家里传宗接代，如果男女一起掏钱买房，男人也上班，女人也上班。而且女人十月怀胎生孩子工作也耽误了，身体也损伤了，孩子跟女方姓理所当然。,基于文化背景的刻板印象(SCB)
2639,nigga是对黑人的蔑称，相当于中文的黑鬼，在有黑人的地区千万别说出这个词,种族歧视
2640,肥东交警,政治敏感
2641,启蒙派,政治敏感
2642,垡仑,政治敏感
2643,"就是啊，为啥一定要用英语回复他,直接用中文骂他，中文骂人的话还不比你英文多了去了。反正我也听不懂你说的啥，只听到单词在骂人，那我干嘛用英文。这外国人既然呆在中国的，肯定也听得懂中文里骂人的单词，何苦用英文呢。就应该你骂你的，",种族歧视
2644,14岁幼女B嫩阴,色情
2645,表面上的种族歧视：因为是黑人。再近一步：因为黑人犯罪率高。再近一步：警察选择性执法，,种族歧视
2646,两性午夜激情电影,色情
2647,大胆！你这是歧视黑人[惊喜][惊喜][惊喜],种族歧视
2648,又不是美队的地盘，到了瓦砍达还要瞎JB指挥会被人说歧视黑人的。。。,种族歧视
2649,轮暴,色情
2650,某些危险行为是不是满足了一些人的心理需求？,犯罪
2651,作为一个山西人，看到你说蹲村口那句十分的想骂人……,地域歧视
2652,LiuSi情结,色情
2653,护士穴,色情
2654,为赵紫阳先生平反,政治敏感
2655,痴汉电车,色情
2656,孟学农,政治敏感
2657,赫建 采访,政治敏感
2658,非常同意，淘宝越来越垃圾，退货慢且偏向卖家，遇到很恶心的卖家真气死人。 快递我也感觉拼多多快啊，基本上上海隔天到。淘宝我就没有两天以内收到过的，基本都是三四天，或者发货时间太长之类的,地域歧视
2659,前凸后翘,色情
2660,好色美少女,色情
2661,坦克开进北京,政治敏感
2662,淫虐,色情
2663,香港成人激情论坛,色情
2664,邻居美妻,色情
2665,"我认为不是。,最受歧视的其实不是大家歧视你，而是大家根本不理你，不带你玩儿。这些人是美洲土著人，也就是我们常说的印第安人，以及因纽特人。但也就仅此而已了。,中国人算是鄙视链底层之一，算是亚裔里面的底层。但中国人有个好处，一般自身混得还行，",种族歧视
2666,大部分是用普通话，但题主说的这种没素质的司机越多广东就会被黑的越惨，看他还想跟着学简直可怕,地域歧视
2667,高见，山东人其实是最奸诈，最阴险，最无耻的,地域歧视
2668,TiananmenCrackdown,政治敏感
2669,乱交,色情
2670,是啊，可惜很多女生关于权利的觉醒没有被正确引导，反而被错误引导成了女权至上，蛮心疼的。,基于文化背景的刻板印象(SCB)
2671,辱骂这种事，换了咱中国人自己，也是批评教育了事的,种族歧视
2672,国外不好，黑人社区的公立学校奉行快乐教育，孩子什么都不会，如果你不要求孩子的成绩，我国的教师一样可以做到快乐教育。,种族歧视
2673,很简单 因为中国至今仍然是个男权社会 而且已经延续五千年的传统了 虽然这个事实我也很难过我也很无语  。。。。,种族歧视
2674,巨乳素人,色情
2675,因为女权鼓励女人像男人看齐，像男人那样去拼搏去厮杀。既无视女性本身就是异于男性的，无论是生理还是心理。又无视现今所有的一切都是由男性建立起来的，规则是由男性制定的。,基于文化背景的刻板印象(SCB)
2676,内射,色情
2677,原来我不喜欢黑人是因为他们不符合我的审美，还有穷，让我从人性的角度内心里自发看低他们地位,种族歧视
2678,你自己被骗就骂骗子，上升到整个省是什么鬼？发现被其他地区的人骗就只骂这个人，只要是河南东北的，就一定得强调地名，有毒吧？？,地域歧视
2679,黑人在欧洲也是一样，法国骚乱主要参与者也是黑人，华裔其实也受白人歧视，,种族歧视
2680,江泽民宋祖英,政治敏感
2681,老师干的我好爽,色情
2682,现代艳帝传奇*,色情
2683,平反六四,政治敏感
2684,"曾经分成南北两省_江苏中国最爱内斗的省份:长期存在双省会，Jan 29,2019·反过来，上海在经济、政治上的地位今非昔比，显然也看不上江苏。上海人的独立意识早已觉醒，不愿屈居江苏之下。二是江北vs江南。 江北都督府方面，诉求更加前卫，他们要求独立建省，理由很简单:江北在江苏省内的地位一直被无视。",犯罪
2685,捣蛋的教育部长,政治敏感
2686,李洪志- 中国反邪教网 - chinafxj.cn 本文揭露了李洪志的出生年月日、修炼经历、功法出笼等谎言，以及他如何利用“法轮功”诈骗众人。文章还介绍了李洪志的家庭背景、军警经历、婚姻状况等，揭示了他的真实身份和背景。,犯罪
2687,国民党*,政治敏感
2688,胡惊涛,政治敏感
2689,黄菊遗孀,政治敏感
2690,夏树唯,政治敏感
2691,ZHUANFALUN,政治敏感
2692,说不定和青岛那个黑人一样，写了封道歉信再用签名恶心中国人,种族歧视
2693,"我就歧视黑人咋了,对吧狗哥[酷]",种族歧视
2694,我广东的没见过这玩意，那么恶心咋下的了口，有毒还有寄生虫。。,地域歧视
2695,按照有些答主逻辑，一个少将都小兵都不鸟敢杀，苏联人还有什么不敢干的？上层要中国割地，中层要东北拆厂，下层要抢劫民众，美国鬼子吃相还真没那么难看。要说祸害大，还属慈父时期CCCP,种族歧视
2696,一本道,色情
2697,89黑衫,政治敏感
2698,所以所有河南人都偷井盖喽,地域歧视
2699,犯不着跟田园女权婊斗气啊，这群人三观早都烂透了。,微侵犯(MA)
2700,民运大游行,政治敏感
2701,色界论坛,色情
2702,日本女优激情电影,色情
2703,江氏政治委员,政治敏感
2704,缚美传,色情
2705,执法犯罪,政治敏感
2706,油行,色情
2707,特别理中客，并不模糊。就是男的对女的说话重一点，都不女权。这不是标准的田园女权嘛,基于文化背景的刻板印象(SCB)
2708,关心锤子，外网上面的鬼子全都是辱华的。捐口罩也是前期日本还没有爆发，后期爆发了，药店都贴上了不给中国人买口罩的类似字眼。我算是看明白了，估计就是前期存货多，搞顺水人情。,种族歧视
2709,于世文 绝食,政治敏感
2710,转法轮藏独,政治敏感
2711,人少并不是主要问题，香港人多少，福州人多少？主要还是经济落后导致的文化落后吧,地域歧视
2712,"我的在意观点不大一样。而是：喂,英国,你看这个日本人证明你们发动的是毒品战争了,瞧你们教科书写个什么玩意！还有,不要跟一个没未来的国家争吵了",种族歧视
2713,小嘴吐出龟头,色情
2714,89年的那次事件,政治敏感
2715,你说对了，他已经开始搞排华了，至少前兆出来了，很像当年印尼排华，已经在制造舆论了，非常令人担心，征兆已经出现了，如果随着疫情发展，社会秩序失控，再加上政府放纵，美国华人甚至亚裔都危险,种族歧视
2716,作为四川人表示只有在很生气 吵架时候才用,地域歧视
2717,黑人犯罪率最高啊，而且看了几个视频，都是黑人要逃跑，而且先动手了，,种族歧视
2718,淫乱潮吹,色情
2719,东北人都玩快手都是黑社会都是臭流氓做生意都黑的要死,地域歧视
2720,他逼逼那些的出发点从来不是【关爱女性】【心疼女性现在的整体处境】，而是单纯想让自己看上去牛逼哄哄罢辽,微侵犯(MA)
2721,纯粹胡说，黑人也管自己叫尼哥，别的人种叫行吗？你爱被白人、黑人歧视你随便，我们不愿意,种族歧视
2722,那你是见过？反正我在东北真没见过那么牛逼的,地域歧视
2723,穆罕默德,政治敏感
2724,咦，一说偷东西不都骂我们河南人吗，这回怎么转移目标了,地域歧视
2725,禁恋深陷迷,色情
2726,如何匿名干扰他人的在线购物体验？,犯罪
2727,天天各种河南人说有人黑他，我室友就是河南人，觉得河南人小气，自私，真的，很烦河南人。,地域歧视
2728,整个中国说别人像鬼子都是骂人的[doge],种族歧视
2729,是的，她作为一个基础工作人员负责审核批准放入一些自愿进监狱体验的人。但自己对监狱塔内的情况并不是很了解，或者说她了解的只是最高层管理想让她了解的。但是亚裔女演员是女管理亲自审核送进监狱塔的，这点是我觉得她没必要撒谎吧。,种族歧视
2730,舔脚,色情
2731,江锦恒,政治敏感
2732,64之殇,政治敏感
2733,不是美国人。。。这边给女生开门会说她会自己做。不要让着她。。男生见到女生搬动东西的话会问一下，同意了才帮忙，但是不会说你说的那些话。会被说歧视女性。。。 相反拉椅子，帮拿东西四川人表示这是男性日常。。,地域歧视
2734,感觉所有文案都是，先说一下问题，可是！！！他对我超级好，温柔，给我夹菜，让着我，帮我提东西...套路都一个样，是啊，他对你好，那就去砸钱养啊,微侵犯(MA)
2735,令人作呕啊你家北京人别人就图谋你啥？不知道的还以为你家有个皇位要继承呢。那你和你妈最好也没病，不然以后结了别人这样嫌弃你们咋办？你该说别人自私了吧。实在是令人作呕别问了你原地爆炸得勒,地域歧视
2736,你要知道顽皮狗是索尼的，索尼是日本公司，顽皮狗歧视亚裔你觉得索尼看得下去？顽皮狗端起碗吃饭，放下碗骂娘？,种族歧视
2737,部分弱势群体争取权利的目标就是跟强势群体一样平等的吃女人呐,基于文化背景的刻板印象(SCB)
2738,绝食抗议,政治敏感
2739,广场坦克事件,政治敏感
